timestamp,open,high,low,close,volume
1725641400000,1.10698,1.10762,1.1068,1.10757,871
1725641700000,1.10757,1.1079,1.10729,1.10768,979
1725642000000,1.10769,1.1077,1.1068,1.10727,979
1725642300000,1.10726,1.10752,1.1069,1.10741,772
1725642600000,1.1074,1.1081,1.1072,1.10796,720
1725642900000,1.10797,1.10835,1.10788,1.10814,844
1725643200000,1.10817,1.10876,1.1081,1.10876,838
1725643500000,1.10877,1.109,1.1085,1.10866,720
1725643800000,1.10872,1.1088,1.1082,1.1082,722
1725644100000,1.10843,1.1086,1.108,1.10816,816
1725644400000,1.10817,1.10861,1.108,1.10827,766
1725644700000,1.10827,1.10868,1.108,1.10856,801
1725645000000,1.10855,1.10859,1.10792,1.10792,704
1725645300000,1.10802,1.1086,1.10793,1.10841,896
1725645600000,1.1084,1.10867,1.1077,1.10786,1006
1725645900000,1.1079,1.1083,1.1077,1.10809,784
1725646200000,1.1081,1.1083,1.1079,1.10823,830
1725646500000,1.1083,1.1086,1.108,1.10816,785
1725646800000,1.10817,1.1084,1.1079,1.10822,742
1725647100000,1.10819,1.1086,1.108,1.1084,734
1725647400000,1.1086,1.1088,1.1081,1.10818,715
1725647700000,1.10819,1.10834,1.1079,1.10817,648
1725648000000,1.10817,1.1083,1.1079,1.10824,705
1725648300000,1.10824,1.1084,1.1081,1.10822,683
1725648600000,1.10822,1.10843,1.108,1.10842,614
1725648900000,1.10843,1.1087,1.1082,1.10867,774
1725649200000,1.10867,1.1087,1.1081,1.10844,886
1725649500000,1.10844,1.1085,1.1081,1.10837,647
1725649800000,1.10837,1.10854,1.1081,1.10853,639
1725650100000,1.10854,1.1087,1.1083,1.10845,633
1725650400000,1.10847,1.1088,1.1083,1.10877,556
1725650700000,1.10874,1.109,1.1086,1.10892,552
1725651000000,1.10891,1.10892,1.1086,1.10876,482
1725651300000,1.10877,1.10882,1.1085,1.10873,418
1725651600000,1.10872,1.1088,1.1085,1.1087,411
1725651900000,1.10869,1.10892,1.1084,1.10887,589
1725652200000,1.10887,1.10891,1.1085,1.1087,579
1725652500000,1.1087,1.10891,1.1086,1.1088,706
1725652800000,1.10882,1.1089,1.1085,1.10879,493
1725653100000,1.10876,1.1088,1.1086,1.10879,290
1725653400000,1.10878,1.1089,1.1084,1.10869,490
1725653700000,1.10868,1.1089,1.1085,1.10868,476
1725654000000,1.10868,1.1089,1.1085,1.10878,351
1725654300000,1.10878,1.1089,1.1086,1.10867,337
1725654600000,1.10867,1.1088,1.1085,1.10858,360
1725654900000,1.10857,1.1087,1.1083,1.10855,418
1725655200000,1.1086,1.1088,1.1084,1.10851,401
1725655500000,1.10852,1.1088,1.1084,1.1084,504
1725655800000,1.10841,1.1087,1.10822,1.10858,462
1725656100000,1.10859,1.1087,1.1078,1.10803,249
1725829200000,1.10844,1.10844,1.10844,1.10844,1
1725829500000,1.10815,1.10818,1.10804,1.10814,23
1725829800000,1.10809,1.10809,1.10798,1.10799,30
1725830100000,1.10809,1.10832,1.10809,1.10824,11
1725830400000,1.10825,1.10832,1.10825,1.10832,7
1725830700000,1.10821,1.10832,1.10816,1.10816,18
1725831000000,1.10818,1.1082,1.10808,1.10809,36
1725831300000,1.10809,1.10837,1.10809,1.10811,24
1725831600000,1.10824,1.10824,1.1081,1.10812,12
1725831900000,1.1081,1.10824,1.10809,1.10809,14
1725832200000,1.10837,1.10837,1.10801,1.10824,19
1725832500000,1.10809,1.10818,1.10807,1.10816,9
1725832800000,1.10807,1.10865,1.10807,1.10856,188
1725833100000,1.10861,1.10879,1.10846,1.10874,153
1725833400000,1.10865,1.10878,1.10861,1.10869,85
1725833700000,1.10869,1.10876,1.10858,1.10874,59
1725834000000,1.10875,1.10878,1.10861,1.10874,93
1725834300000,1.10872,1.10876,1.10865,1.10868,52
1725834600000,1.10871,1.10896,1.1087,1.10893,129
1725834900000,1.10891,1.10896,1.10886,1.1089,182
1725835200000,1.10892,1.10896,1.10886,1.1089,94
1725835500000,1.10888,1.10899,1.10888,1.10896,66
1725835800000,1.10895,1.10902,1.10895,1.10898,72
1725836100000,1.10899,1.10899,1.10863,1.10863,137
1725836400000,1.10867,1.10894,1.10865,1.10887,200
1725836700000,1.10889,1.10889,1.10873,1.10886,153
1725837000000,1.10882,1.10895,1.10882,1.10887,133
1725837300000,1.10885,1.10899,1.10883,1.10893,126
1725837600000,1.10891,1.10898,1.10884,1.1089,140
1725837900000,1.10891,1.109,1.10879,1.10899,124
1725838200000,1.10899,1.1091,1.1088,1.109,180
1725838500000,1.10902,1.1093,1.1088,1.10892,191
1725838800000,1.10891,1.1091,1.1088,1.10902,136
1725839100000,1.10904,1.1091,1.1088,1.10889,179
1725839400000,1.10886,1.109,1.1086,1.10871,185
1725839700000,1.10868,1.1088,1.1085,1.1087,200
1725840000000,1.10861,1.1088,1.1084,1.10868,284
1725840300000,1.1087,1.109,1.1085,1.10872,257
1725840600000,1.1087,1.1089,1.1085,1.10883,264
1725840900000,1.10881,1.109,1.1087,1.10896,473
1725841200000,1.10896,1.1091,1.1086,1.1087,440
1725841500000,1.10873,1.1089,1.1085,1.1085,448
1725841800000,1.10862,1.1089,1.1084,1.10876,468
1725842100000,1.10872,1.1088,1.1085,1.10876,310
1725842400000,1.1087,1.10874,1.1083,1.10845,393
1725842700000,1.10845,1.10851,1.1082,1.1083,443
1725843000000,1.10841,1.1086,1.1083,1.10843,483
1725843300000,1.1085,1.1086,1.1081,1.10831,499
1725843600000,1.1083,1.10874,1.1082,1.10874,542
1725843900000,1.10871,1.1092,1.1085,1.10903,500
1725844200000,1.10905,1.1092,1.1087,1.10897,449
1725844500000,1.10896,1.1091,1.1087,1.10898,542
1725844800000,1.10898,1.1091,1.1085,1.10862,387
1725845100000,1.10862,1.1088,1.1084,1.1087,432
1725845400000,1.10872,1.10875,1.1082,1.10837,558
1725845700000,1.10839,1.1087,1.1082,1.10855,631
1725846000000,1.10857,1.1087,1.1083,1.10836,484
1725846300000,1.10835,1.1085,1.1081,1.10823,485
1725846600000,1.10821,1.1083,1.108,1.10817,535
1725846900000,1.10815,1.1083,1.108,1.1082,592
1725847200000,1.10819,1.1083,1.108,1.10824,528
1725847500000,1.10825,1.1083,1.1079,1.10813,366
1725847800000,1.10815,1.10826,1.1079,1.10824,363
1725848100000,1.10825,1.1083,1.1079,1.10815,366
1725848400000,1.1081,1.10823,1.1079,1.10822,266
1725848700000,1.10821,1.1083,1.1079,1.10814,344
